year,region,country,sex,number
1992,Africa,Rwanda,Male,25.3
1992,Africa,Senegal,Male,23.1
1992,Africa,Algeria,Male,9.8
1992,Africa,Niger,Male,42.1
1993,Africa,Ghana,Male,27
1993,Africa,Kenya,Male,22.4
1994,Africa,Central African Republic,Male,25.2
1994,Africa,Côte d'Ivoire,Male,23.7
1994,Africa,Zimbabwe,Male,13.6
1995,Africa,Algeria,Male,12.2
1995,Africa,Mali,Male,39.2
1995,Africa,Uganda,Male,23.8
1995,Africa,Eritrea,Male,39.4
1996,Africa,Chad,Male,35.9
1996,Africa,Angola,Male,38.2
1996,Africa,Comoros,Male,25.7
1996,Africa,Benin,Male,29.9
1996,Africa,Zambia,Male,21.1
1996,Africa,United Republic of Tanzania,Male,28.4
1997,Africa,Mozambique,Male,30.8
1997,Africa,Equatorial Guinea,Male,15.4
1997,Africa,Madagascar,Male,39.8
1998,Africa,Niger,Male,46
1998,Africa,Cameroon,Male,20.1
1998,Africa,Côte d'Ivoire,Male,16.7
1998,Africa,Ghana,Male,20.7
1998,Africa,Togo,Male,25.5
1998,Africa,Burkina Faso,Male,35.2
1998,Africa,Kenya,Male,20
1999,Africa,United Republic of Tanzania,Male,23.8
1999,Africa,Guinea,Male,21.3
1999,Africa,Zimbabwe,Male,12.6
1999,Africa,Liberia,Male,27.6
1999,Africa,Zambia,Male,22.2
2000,Africa,Botswana,Male,10.3
2000,Africa,Algeria,Male,5.3
2000,Africa,Ethiopia,Male,44.4
2000,Africa,Malawi,Male,23
2000,Africa,Sierra Leone,Male,28.2
2000,Africa,Burundi,Male,38.8
2000,Africa,Central African Republic,Male,24.1
2000,Africa,Namibia,Male,21.2
2000,Africa,Niger,Male,44.7
2000,Africa,Rwanda,Male,22.4
2000,Africa,Senegal,Male,21.5
2000,Africa,Comoros,Male,28
2000,Africa,Mauritania,Male,32.7
2000,Africa,Uganda,Male,21
2000,Africa,Gambia,Male,16.5
2000,Africa,Sao Tome and Principe,Male,11.5
2000,Africa,Equatorial Guinea,Male,16.8
2000,Africa,Kenya,Male,19.6
2000,Africa,Swaziland,Male,9.5
2000,Africa,Gabon,Male,10.1
2000,Africa,Guinea-Bissau,Male,22.3
2000,Africa,Lesotho,Male,17.4
2000,Africa,Chad,Male,30.4
2001,Africa,Mali,Male,31.6
2001,Africa,Zambia,Male,24.4
2001,Africa,Benin,Male,23.5
2001,Africa,Democratic Republic of the Congo,Male,36.5
2001,Africa,Angola,Male,29.4
2002,Africa,Eritrea,Male,35.9
2002,Africa,Algeria,Male,12.7
2003,Africa,Mozambique,Male,22.6
2003,Africa,Ghana,Male,20.6
2003,Africa,Kenya,Male,19.3
2003,Africa,Burkina Faso,Male,36.8
2003,Africa,Madagascar,Male,39.2
2003,Africa,Nigeria,Male,29.1
2003,Africa,South Africa,Male,13.6
2004,Africa,Lesotho,Male,17.3
2004,Africa,Malawi,Male,19.7
2004,Africa,Cameroon,Male,15.3
2004,Africa,United Republic of Tanzania,Male,18
2004,Africa,Equatorial Guinea,Male,11.3
2004,Africa,Chad,Male,35
2005,Africa,Sierra Leone,Male,30.7
2005,Africa,Congo,Male,12.9
2005,Africa,Algeria,Male,3.7
2005,Africa,Ethiopia,Male,36.5
2005,Africa,Senegal,Male,14.4
2005,Africa,Guinea,Male,24.4
2005,Africa,Zimbabwe,Male,15.1
2005,Africa,Gambia,Male,16.7
2005,Africa,Rwanda,Male,18.9
2006,Africa,Benin,Male,22.7
2006,Africa,Mali,Male,29.7
2006,Africa,Namibia,Male,18.5
2006,Africa,Burkina Faso,Male,39.5
2006,Africa,Liberia,Male,21.9
2006,Africa,Malawi,Male,17.2
2006,Africa,Côte d'Ivoire,Male,18.8
2006,Africa,Togo,Male,23.5
2006,Africa,Ghana,Male,15.2
2006,Africa,Niger,Male,42.1
2006,Africa,South Sudan,Male,35.9
2006,Africa,Swaziland,Male,6.3
2006,Africa,Central African Republic,Male,30.6
2006,Africa,Cameroon,Male,18.9
2006,Africa,Guinea-Bissau,Male,18.2
2006,Africa,Uganda,Male,18.2
2007,Africa,Angola,Male,16.6
2007,Africa,Botswana,Male,12.1
2007,Africa,Guinea,Male,21.9
2007,Africa,Mauritania,Male,23.6
2007,Africa,Nigeria,Male,27.2
2007,Africa,Côte d'Ivoire,Male,30.3
2007,Africa,Democratic Republic of the Congo,Male,30.4
2007,Africa,Zambia,Male,16.9
2008,Africa,Kenya,Male,17.3
2008,Africa,Mozambique,Male,20.6
2008,Africa,Mauritania,Male,17.8
2008,Africa,Sao Tome and Principe,Male,16.6
2008,Africa,United Republic of Tanzania,Male,16.8
2008,Africa,Guinea-Bissau,Male,16.2
2008,Africa,Sierra Leone,Male,24.2
2008,Africa,Ghana,Male,15.7
2008,Africa,Nigeria,Male,28.6
2008,Africa,Togo,Male,20.5
2009,Africa,Burkina Faso,Male,27.1
2009,Africa,Zimbabwe,Male,14.1
2009,Africa,United Republic of Tanzania,Male,17.8
2009,Africa,Malawi,Male,12.9
2009,Africa,Lesotho,Male,16
2010,Africa,Burundi,Male,32
2010,Africa,Ethiopia,Male,30.9
2010,Africa,Rwanda,Male,12.9
2010,Africa,Sierra Leone,Male,20.8
2010,Africa,Sierra Leone,Male,22.6
2010,Africa,Swaziland,Male,6.7
2010,Africa,Burkina Faso,Male,27.7
2010,Africa,Central African Republic,Male,26.1
2010,Africa,Eritrea,Male,38.1
2010,Africa,Malawi,Male,15.2
2010,Africa,Senegal,Male,19.7
2010,Africa,Togo,Male,18.4
2010,Africa,Democratic Republic of the Congo,Male,27.2
2010,Africa,Gambia,Male,17.8
2010,Africa,Equatorial Guinea,Male,5.9
2010,Africa,Chad,Male,32.5
2010,Africa,United Republic of Tanzania,Male,14.2
2010,Africa,Zimbabwe,Male,11.5
